trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.02, 'e': 0.09255057751034329}",30,20,17.88316858225174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.09071795328941251}",25,8,6.112191979918979,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.08892161745938634}",25,1,23.40722114827935,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.0871608514619813}",20,11,17.292672398400782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08543495096732123}",20,15,2.670214806805807,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.08374322559219596}",20,8,18.236776313714383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': 0.0820849986238988}",30,0,32.890557904603476,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.08045960674953244}",20,3,30.21452791580289,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,17,11.221592281366114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07730474044329974}",20,6,15.558511909087528,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07577400402284548}",20,10,5.7932522523482035,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07427357821433388}",20,11,14.194248978515297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07280286282743559}",20,9,9.548419110848863,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': 0.07136126955638605}",25,20,9.214572471687028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,0,12.010253996768244,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06856315415427791}",20,0,-7.133080127186081,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.02, 'e': 0.06720551273974976}",35,16,-9.331718120200648,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.02, 'e': 0.06587475442640295}",25,4,27.256895347031257,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.06457034689316847}",35,26,19.915251243911488,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.0632917683596407}",30,23,14.746609326259795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06203850737735829}",25,1,36.198210050982084,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.06081006262521795}",30,14,29.32149385719837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
